,DGS10,log_DGS10,log_return_DGS10
DGS10,1.0,0.9352749418451602,-0.004754702417139857
log_DGS10,0.9352749418451602,1.0,-0.0012342053093000994
log_return_DGS10,-0.004754702417139857,-0.0012342053093000994,1.0
