,nifty50_close,nifty50_high,nifty50_low,nifty50_open,nifty50_volume,sp500_close,sp500_high,sp500_low,sp500_open,sp500_volume,usd_inr_close,usd_inr_high,usd_inr_low,usd_inr_open,usd_inr_volume,gold_close,gold_high,gold_low,gold_open,gold_volume,brent_close,brent_high,brent_low,brent_open,brent_volume,log_nifty50_close,log_sp500_close,log_usd_inr_close,log_gold_close,log_brent_close,log_return_nifty50_close,log_return_sp500_close,log_return_usd_inr_close,log_return_gold_close,log_return_brent_close
nifty50_close,1.0,0.9999409015394779,0.9999404805139697,0.9998727479155703,0.40359823452129084,0.9847269574949108,0.9848557477219532,0.9846414092547019,0.9847322329885165,0.23127629522764592,0.8944354168400551,0.8932951866197903,0.8961402160803067,0.8948440587245186,,0.7999297257232041,0.7983266991798003,0.8019098169605262,0.7998848849342566,-0.020555606482968374,-0.17391499798195967,-0.16771077312910665,-0.17985921542254432,-0.17405973269640448,0.5618390914738282,0.9758884143121319,0.9484242381165191,0.8537031171633612,0.8121673782916113,-0.08837897741408031,0.016433495711967464,0.014341909321518846,-0.0038434337219588697,0.0382416853305574,0.003496836237993294
nifty50_high,0.9999409015394779,1.0,0.9999079041644404,0.9999494332118863,0.40578661916858283,0.9848505905264301,0.9850001212272176,0.9847434042596224,0.9848651138652039,0.23346612553575455,0.8946828680752867,0.8935845613449256,0.8963849687705681,0.8950896260700663,,0.7999869637663908,0.7984001814212875,0.8019622598478643,0.7999564660034579,-0.020520148694091994,-0.17433883861948513,-0.16807695721931068,-0.1803092142247682,-0.1744428233119994,0.5626358402544301,0.9758771173363873,0.9485825380522991,0.8539318087863744,0.8124127721789549,-0.08907358063129686,0.010079121256815428,0.012908181383196935,-0.0035231206441173257,0.038023081329430136,0.0026918690153834982
nifty50_low,0.9999404805139697,0.9999079041644404,1.0,0.9999233309323421,0.4012968125054449,0.9845735135541749,0.9846921929969791,0.9845110777452991,0.9845926100287226,0.2294567628945976,0.8941231662035999,0.8929723831713513,0.8958638821082259,0.8945316759467898,,0.7999127651339606,0.7982859064760759,0.8019003060818796,0.7998552954993114,-0.02060738912437612,-0.17373040353334496,-0.1675677950653837,-0.17963422181804445,-0.17386596624953227,0.5614419033145688,0.9757389308179045,0.9481742151219529,0.8533948636888052,0.8118823605618743,-0.08795221740658969,0.011899114445799778,0.012989442996203878,-0.004137484124335133,0.03850640736930891,0.0032546790697411594
nifty50_open,0.9998727479155703,0.9999494332118863,0.9999233309323421,1.0,0.4042804622410703,0.9847214561377914,0.984860450454414,0.9846366761665657,0.9847481339675251,0.23183436760788498,0.8945205608930539,0.8934210120712972,0.8962633823800622,0.8949252276933435,,0.7996615452702852,0.7980538558538646,0.8016409941462228,0.7996194535471609,-0.020565499680349597,-0.17440147743507878,-0.168174197483638,-0.18034182769492824,-0.1745001325930387,0.5625375894589955,0.9758685504502763,0.9485076394475468,0.8538153560604103,0.8119548482504289,-0.08889267726740083,0.005719556823205137,0.011679783260835585,-0.00395799295805897,0.03812788649981011,0.0024292645854089544
nifty50_volume,0.40359823452129084,0.40578661916858283,0.4012968125054449,0.4042804622410703,1.0,0.47019294751377483,0.47143066567609515,0.4687267520058485,0.4704192876208909,0.30203607228093526,0.590753648539228,0.5923548271490034,0.5881360197004102,0.5905518797141187,,0.22940724042045005,0.23024755914890116,0.22968306964295296,0.2301649251992589,0.020431672990874204,-0.4848493469705722,-0.47965618159777657,-0.4889477828030488,-0.48428268364374505,0.5296943877834173,0.5045900093099974,0.5732663424923724,0.6102065196143295,0.2702684470440634,-0.48310381964785476,-0.015916724835867285,-0.013019616539315606,-0.002571970607205482,0.004677816384345185,-0.027182264086291555
sp500_close,0.9847269574949108,0.9848505905264301,0.9845735135541749,0.9847214561377914,0.47019294751377483,1.0,0.9999052498018057,0.99991328661417,0.9998209735688751,0.2478087832511609,0.9118582205711415,0.9110303022540303,0.913089663008902,0.9122223298561088,,0.8177920635340162,0.8162380456677599,0.8195848245508979,0.8176359738142892,-0.01790963805033335,-0.2208941616187689,-0.21533376832581974,-0.22662864456452608,-0.22139962733281768,0.5854525449013183,0.9707612954870622,0.9709982048211429,0.877705572838163,0.8242358444480803,-0.14348078601831313,0.01548752610281121,0.025740215953081746,-0.002835690349116537,0.038861505076987365,0.008813175124638648
sp500_high,0.9848557477219532,0.9850001212272176,0.9846921929969791,0.984860450454414,0.47143066567609515,0.9999052498018057,1.0,0.9998533672701412,0.9999234118376356,0.25220740132170827,0.9123121435007278,0.9115205771729789,0.913524287260357,0.9126782483552801,,0.8180384574756278,0.8165259692819961,0.8198165487521022,0.8179003086202903,-0.017914941391347593,-0.22085213795486092,-0.21514356055733186,-0.22661383275321237,-0.2212591163439747,0.5867347211606411,0.9709533372811291,0.9710073913535004,0.8781019475471746,0.8246784311530118,-0.14377605776439217,0.013687796491764475,0.017276989892140722,-0.00234198978135715,0.03846075503828827,0.006785592255542089
sp500_low,0.9846414092547019,0.9847434042596224,0.9845110777452991,0.9846366761665657,0.4687267520058485,0.99991328661417,0.9998533672701412,1.0,0.9998982826859062,0.2438976102454403,0.9113750813140141,0.9105256610874679,0.9126330894358649,0.9117367330883688,,0.8173979786372754,0.8158140911942703,0.8192211217632059,0.8172518622153034,-0.01781767928933639,-0.22085863988325227,-0.21534668180608948,-0.2264833175927659,-0.22131866088938099,0.5843639614011463,0.9706299886679493,0.9708620344579247,0.8772983135930824,0.8236114081332715,-0.14312579855175703,0.016041181864928502,0.019577816782070333,-0.003323225033049416,0.038329975871061905,0.008237868708815736
sp500_open,0.9847322329885165,0.9848651138652039,0.9845926100287226,0.9847481339675251,0.4704192876208909,0.9998209735688751,0.9999234118376356,0.9998982826859062,1.0,0.24896948947489983,0.9118121264060456,0.9110073056770113,0.9130575914468465,0.9121741589360823,,0.8177104854029649,0.8161679601256155,0.819512745985283,0.8175766769855781,-0.01782484185352667,-0.2209630887297063,-0.2152780322253848,-0.22660669995294005,-0.22128153451316912,0.5858203851543159,0.9707783909528238,0.9708479245792488,0.8776676106548276,0.8241224370807658,-0.14360204427778184,0.013387264715590552,0.010764272444705531,-0.0027575444259031376,0.038036352510615906,0.005364271178877907
sp500_volume,0.23127629522764592,0.23346612553575455,0.2294567628945976,0.23183436760788498,0.30203607228093526,0.2478087832511609,0.25220740132170827,0.2438976102454403,0.24896948947489983,1.0,0.19099339060681614,0.1932628731115998,0.189750470971465,0.19139941644650607,,0.3208538244781773,0.3245938846843461,0.3185509683986766,0.32196124078857935,-0.01595719665793267,-0.1621774900449131,-0.15251677857365564,-0.16865011825994458,-0.15956238741511378,0.21594738611295516,0.20434493365624615,0.19715722720046008,0.15730530902835568,0.32024666934484436,-0.18069076328419506,-0.09090631685742924,-0.08419924737283306,0.045473190212778195,-0.004882701997117169,-0.05972690213116381
usd_inr_close,0.8944354168400551,0.8946828680752867,0.8941231662035999,0.8945205608930539,0.590753648539228,0.9118582205711415,0.9123121435007278,0.9113750813140141,0.9118121264060456,0.19099339060681614,1.0,0.9998207835420272,0.999523429540772,0.999944247867201,,0.6257227706228623,0.6244208359152855,0.627556348740407,0.6255413765982677,-0.020047029801172612,-0.37497162782370697,-0.3679821472723201,-0.38113127841451616,-0.37449272607672857,0.6656572881514705,0.9366881092156816,0.9602354692186108,0.9947097978800613,0.6379739318608082,-0.31907773570926135,0.015015868248148406,0.015474653132498682,0.00855656153304586,0.03447864627294505,-0.0007143884072967322
usd_inr_high,0.8932951866197903,0.8935845613449256,0.8929723831713513,0.8934210120712972,0.5923548271490034,0.9110303022540303,0.9115205771729789,0.9105256610874679,0.9110073056770113,0.1932628731115998,0.9998207835420272,1.0,0.9994579149428185,0.9998311016047635,,0.6253975866962703,0.6241427882377958,0.6272020819006342,0.6252466165601711,-0.020454503487148116,-0.37379564054483627,-0.3667043165456536,-0.37998728314393776,-0.37325461293424467,0.6654258312255578,0.9355155597011438,0.9594711940106019,0.9946093181829632,0.6377704686100762,-0.31840224222190605,0.010520267577075842,0.013159854771843085,0.0060313554888050845,0.033159266896814754,-0.0020849280697063425
usd_inr_low,0.8961402160803067,0.8963849687705681,0.8958638821082259,0.8962633823800622,0.5881360197004102,0.913089663008902,0.913524287260357,0.9126330894358649,0.9130575914468465,0.189750470971465,0.999523429540772,0.9994579149428185,1.0,0.9995452039983258,,0.6262226569659818,0.6249153003897685,0.6281243709065883,0.626114552362908,-0.01988193250761224,-0.3740388792144637,-0.367042388748192,-0.3801693550520377,-0.37351938197103696,0.665139462356833,0.9382206580804888,0.9610851919745345,0.9939668619600993,0.6386165875111118,-0.3175756622234588,0.012199432431054988,0.014317030212730529,0.00387710151030372,0.03149442246823793,-0.001308753210635812
usd_inr_open,0.8948440587245186,0.8950896260700663,0.8945316759467898,0.8949252276933435,0.5905518797141187,0.9122223298561088,0.9126782483552801,0.9117367330883688,0.9121741589360823,0.19139941644650607,0.999944247867201,0.9998311016047635,0.9995452039983258,1.0,,0.626410088005204,0.6251081863965695,0.6282400491980084,0.6262274321493926,-0.020437246911134247,-0.3749682873206478,-0.3679850252215133,-0.3811430181559579,-0.3745085652913429,0.6653186802267078,0.9369243771215846,0.96037856023698,0.9945422401294459,0.6387248249687749,-0.31917260088551147,0.015484084521628614,0.015780327415439332,0.004667644948320548,0.03466640527277723,-0.00027574669421328164
usd_inr_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gold_close,0.7999297257232041,0.7999869637663908,0.7999127651339606,0.7996615452702852,0.22940724042045005,0.8177920635340162,0.8180384574756278,0.8173979786372754,0.8177104854029649,0.3208538244781773,0.6257227706228623,0.6253975866962703,0.6262226569659818,0.626410088005204,,1.0,0.9997915070138662,0.9998453601362866,0.9995951828064495,-0.024040766420657403,0.01933908092199983,0.022185163731189096,0.016710120992160512,0.019325256789359334,0.30992076378646044,0.6915465107484837,0.6873376644170226,0.5648772334842087,0.9784484331411697,0.05685817026263963,0.00013277939433293178,0.017987497112037752,0.005045541923395785,0.05889913306753313,-0.0007487377271274283
gold_high,0.7983266991798003,0.7984001814212875,0.7982859064760759,0.7980538558538646,0.23024755914890116,0.8162380456677599,0.8165259692819961,0.8158140911942703,0.8161679601256155,0.3245938846843461,0.6244208359152855,0.6241427882377958,0.6249153003897685,0.6251081863965695,,0.9997915070138662,1.0,0.9996897783179681,0.9998214295147614,-0.025094749459496524,0.019149313006160802,0.02214017226490954,0.01653429178515667,0.019292324589797256,0.31052397224910194,0.6897253104090708,0.6856492277814429,0.5635774712891348,0.9780736803183666,0.05622158008115474,-0.0010392588563523195,0.016873715503724285,0.005501337941269802,0.04715331333293109,-0.0029515402261113175
gold_low,0.8019098169605262,0.8019622598478643,0.8019003060818796,0.8016409941462228,0.22968306964295296,0.8195848245508979,0.8198165487521022,0.8192211217632059,0.819512745985283,0.3185509683986766,0.627556348740407,0.6272020819006342,0.6281243709065883,0.6282400491980084,,0.9998453601362866,0.9996897783179681,1.0,0.9997515115408365,-0.022652788195521398,0.019444670215751605,0.02228625284876124,0.01685806631588089,0.019470118773031987,0.310184683382523,0.6938766407881733,0.6894895392932894,0.566763366103336,0.9786044217149584,0.057402373006702756,0.0008497720145048595,0.018134905444773752,0.004333970239761261,0.05006985636659434,-0.0006390134308309821
gold_open,0.7998848849342566,0.7999564660034579,0.7998552954993114,0.7996194535471609,0.2301649251992589,0.8176359738142892,0.8179003086202903,0.8172518622153034,0.8175766769855781,0.32196124078857935,0.6255413765982677,0.6252466165601711,0.626114552362908,0.6262274321493926,,0.9995951828064495,0.9998214295147614,0.9997515115408365,1.0,-0.02383728766122072,0.019746556096677196,0.022712433641174014,0.017188853682565605,0.01994944484933133,0.309954837292028,0.6914805555638055,0.6872251141852531,0.5647220739734891,0.9781920470888602,0.05725898977427456,-0.0006887869928998106,0.01670461118097243,0.004502374294346818,0.03660817011652553,-0.0032380343656635206
gold_volume,-0.020555606482968374,-0.020520148694091994,-0.02060738912437612,-0.020565499680349597,0.020431672990874204,-0.01790963805033335,-0.017914941391347593,-0.01781767928933639,-0.01782484185352667,-0.01595719665793267,-0.020047029801172612,-0.020454503487148116,-0.01988193250761224,-0.020437246911134247,,-0.024040766420657403,-0.025094749459496524,-0.022652788195521398,-0.02383728766122072,1.0,-0.01110367718833947,-0.011427480312674603,-0.010393473846487512,-0.010510904462605377,-0.07696957258944036,-0.017295425449515067,-0.014996241305801607,-0.01808176864868648,-0.026262077914278203,-0.009920565772843032,0.013745798595842523,0.005666057859506068,-0.018712639634505954,-0.007759620920594658,-0.0007527448345827111
brent_close,-0.17391499798195967,-0.17433883861948513,-0.17373040353334496,-0.17440147743507878,-0.4848493469705722,-0.2208941616187689,-0.22085213795486092,-0.22085863988325227,-0.2209630887297063,-0.1621774900449131,-0.37497162782370697,-0.37379564054483627,-0.3740388792144637,-0.3749682873206478,,0.01933908092199983,0.019149313006160802,0.019444670215751605,0.019746556096677196,-0.01110367718833947,1.0,0.9989566534872758,0.9992713579312144,0.9982743836915435,-0.5459544301054144,-0.28334814004882847,-0.31385125911347744,-0.4040974761996123,0.08333375647336254,0.9816928547505178,0.0043643941052336635,0.0010471393274385653,0.017708610192914236,-0.02051929841136342,0.01992990293580067
brent_high,-0.16771077312910665,-0.16807695721931068,-0.1675677950653837,-0.168174197483638,-0.47965618159777657,-0.21533376832581974,-0.21514356055733186,-0.21534668180608948,-0.2152780322253848,-0.15251677857365564,-0.3679821472723201,-0.3667043165456536,-0.367042388748192,-0.3679850252215133,,0.022185163731189096,0.02214017226490954,0.02228625284876124,0.022712433641174014,-0.011427480312674603,0.9989566534872758,1.0,0.9984617215083091,0.9991783181407069,-0.5360777414149721,-0.276437304327626,-0.3076060750486635,-0.3973493367947063,0.08704327856787727,0.9802650827093001,0.0006198862648515618,-0.007024724961444047,0.019545947641832914,-0.024061155674159715,-0.0054563560239597655
brent_low,-0.17985921542254432,-0.1803092142247682,-0.17963422181804445,-0.18034182769492824,-0.4889477828030488,-0.22662864456452608,-0.22661383275321237,-0.2264833175927659,-0.22660669995294005,-0.16865011825994458,-0.38113127841451616,-0.37998728314393776,-0.3801693550520377,-0.3811430181559579,,0.016710120992160512,0.01653429178515667,0.01685806631588089,0.017188853682565605,-0.010393473846487512,0.9992713579312144,0.9984617215083091,1.0,0.9989378421305429,-0.5526509937374583,-0.29019680989469204,-0.3203250972122128,-0.4100085045200133,0.07946407530328618,0.9812982879830707,0.004990148002898373,-0.0035013130500702195,0.01668799226372888,-0.023492574858035586,0.0007780062570399959
brent_open,-0.17405973269640448,-0.1744428233119994,-0.17386596624953227,-0.1745001325930387,-0.48428268364374505,-0.22139962733281768,-0.2212591163439747,-0.22131866088938099,-0.22128153451316912,-0.15956238741511378,-0.37449272607672857,-0.37325461293424467,-0.37351938197103696,-0.3745085652913429,,0.019325256789359334,0.019292324589797256,0.019470118773031987,0.01994944484933133,-0.010510904462605377,0.9982743836915435,0.9991783181407069,0.9989378421305429,1.0,-0.5439554705264567,-0.28360702522884806,-0.3143550158225788,-0.4036044825470193,0.08300893330611799,0.9799758905989304,-7.378077025693956e-05,-0.012532751198405613,0.018136639874907205,-0.02888987460131081,-0.026965593101266803
brent_volume,0.5618390914738282,0.5626358402544301,0.5614419033145688,0.5625375894589955,0.5296943877834173,0.5854525449013183,0.5867347211606411,0.5843639614011463,0.5858203851543159,0.21594738611295516,0.6656572881514705,0.6654258312255578,0.665139462356833,0.6653186802267078,,0.30992076378646044,0.31052397224910194,0.310184683382523,0.309954837292028,-0.07696957258944036,-0.5459544301054144,-0.5360777414149721,-0.5526509937374583,-0.5439554705264567,1.0,0.6378176358944914,0.6591237590671652,0.6782737089427182,0.29419611924457184,-0.4983936419049588,-0.04863426137978738,-0.02699121246067238,0.007780344837045415,0.030355479701682106,-0.022751091387079213
log_nifty50_close,0.9758884143121319,0.9758771173363873,0.9757389308179045,0.9758685504502763,0.5045900093099974,0.9707612954870622,0.9709533372811291,0.9706299886679493,0.9707783909528238,0.20434493365624615,0.9366881092156816,0.9355155597011438,0.9382206580804888,0.9369243771215846,,0.6915465107484837,0.6897253104090708,0.6938766407881733,0.6914805555638055,-0.017295425449515067,-0.28334814004882847,-0.276437304327626,-0.29019680989469204,-0.28360702522884806,0.6378176358944914,1.0,0.9837505794757316,0.911605695915774,0.7109851724144193,-0.19613978002852625,0.021804281775306064,0.01361057760286124,-0.007831520778592137,0.03428637317109945,0.0049355378879335915
log_sp500_close,0.9484242381165191,0.9485825380522991,0.9481742151219529,0.9485076394475468,0.5732663424923724,0.9709982048211429,0.9710073913535004,0.9708620344579247,0.9708479245792488,0.19715722720046008,0.9602354692186108,0.9594711940106019,0.9610851919745345,0.96037856023698,,0.6873376644170226,0.6856492277814429,0.6894895392932894,0.6872251141852531,-0.014996241305801607,-0.31385125911347744,-0.3076060750486635,-0.3203250972122128,-0.3143550158225788,0.6591237590671652,0.9837505794757316,1.0,0.9456508733829779,0.7059397728635238,-0.2400646985526359,0.020620931632681198,0.025797390210540512,-0.005702179994530148,0.033036990321075856,0.009657354610068529
log_usd_inr_close,0.8537031171633612,0.8539318087863744,0.8533948636888052,0.8538153560604103,0.6102065196143295,0.877705572838163,0.8781019475471746,0.8772983135930824,0.8776676106548276,0.15730530902835568,0.9947097978800613,0.9946093181829632,0.9939668619600993,0.9945422401294459,,0.5648772334842087,0.5635774712891348,0.566763366103336,0.5647220739734891,-0.01808176864868648,-0.4040974761996123,-0.3973493367947063,-0.4100085045200133,-0.4036044825470193,0.6782737089427182,0.911605695915774,0.9456508733829779,1.0,0.5773494802022505,-0.35136645189977445,0.016468702458626985,0.01479770298502688,0.008720155006322842,0.030050153580269485,-0.0002844976757007802
log_gold_close,0.8121673782916113,0.8124127721789549,0.8118823605618743,0.8119548482504289,0.2702684470440634,0.8242358444480803,0.8246784311530118,0.8236114081332715,0.8241224370807658,0.32024666934484436,0.6379739318608082,0.6377704686100762,0.6386165875111118,0.6387248249687749,,0.9784484331411697,0.9780736803183666,0.9786044217149584,0.9781920470888602,-0.026262077914278203,0.08333375647336254,0.08704327856787727,0.07946407530328618,0.08300893330611799,0.29419611924457184,0.7109851724144193,0.7059397728635238,0.5773494802022505,1.0,0.11497531747283808,0.002480539641514679,0.021104629202694514,0.006082273306337768,0.059104742774244524,0.0029909664250521687
log_brent_close,-0.08837897741408031,-0.08907358063129686,-0.08795221740658969,-0.08889267726740083,-0.48310381964785476,-0.14348078601831313,-0.14377605776439217,-0.14312579855175703,-0.14360204427778184,-0.18069076328419506,-0.31907773570926135,-0.31840224222190605,-0.3175756622234588,-0.31917260088551147,,0.05685817026263963,0.05622158008115474,0.057402373006702756,0.05725898977427456,-0.009920565772843032,0.9816928547505178,0.9802650827093001,0.9812982879830707,0.9799758905989304,-0.4983936419049588,-0.19613978002852625,-0.2400646985526359,-0.35136645189977445,0.11497531747283808,1.0,0.007738173542282724,0.004359985660384465,0.016285357293232258,-0.02274882903164265,0.023540490864009445
log_return_nifty50_close,0.016433495711967464,0.010079121256815428,0.011899114445799778,0.005719556823205137,-0.015916724835867285,0.01548752610281121,0.013687796491764475,0.016041181864928502,0.013387264715590552,-0.09090631685742924,0.015015868248148406,0.010520267577075842,0.012199432431054988,0.015484084521628614,,0.00013277939433293178,-0.0010392588563523195,0.0008497720145048595,-0.0006887869928998106,0.013745798595842523,0.0043643941052336635,0.0006198862648515618,0.004990148002898373,-7.378077025693956e-05,-0.04863426137978738,0.021804281775306064,0.020620931632681198,0.016468702458626985,0.002480539641514679,0.007738173542282724,1.0,0.2545142706015857,-0.10451110531349216,0.03655229442375332,0.12498455780353565
log_return_sp500_close,0.014341909321518846,0.012908181383196935,0.012989442996203878,0.011679783260835585,-0.013019616539315606,0.025740215953081746,0.017276989892140722,0.019577816782070333,0.010764272444705531,-0.08419924737283306,0.015474653132498682,0.013159854771843085,0.014317030212730529,0.015780327415439332,,0.017987497112037752,0.016873715503724285,0.018134905444773752,0.01670461118097243,0.005666057859506068,0.0010471393274385653,-0.007024724961444047,-0.0035013130500702195,-0.012532751198405613,-0.02699121246067238,0.01361057760286124,0.025797390210540512,0.01479770298502688,0.021104629202694514,0.004359985660384465,0.2545142706015857,1.0,-0.0028506316386141995,0.046257315231321566,0.29802923494439176
log_return_usd_inr_close,-0.0038434337219588697,-0.0035231206441173257,-0.004137484124335133,-0.00395799295805897,-0.002571970607205482,-0.002835690349116537,-0.00234198978135715,-0.003323225033049416,-0.0027575444259031376,0.045473190212778195,0.00855656153304586,0.0060313554888050845,0.00387710151030372,0.004667644948320548,,0.005045541923395785,0.005501337941269802,0.004333970239761261,0.004502374294346818,-0.018712639634505954,0.017708610192914236,0.019545947641832914,0.01668799226372888,0.018136639874907205,0.007780344837045415,-0.007831520778592137,-0.005702179994530148,0.008720155006322842,0.006082273306337768,0.016285357293232258,-0.10451110531349216,-0.0028506316386141995,1.0,0.004009364871290542,0.002743337433436105
log_return_gold_close,0.0382416853305574,0.038023081329430136,0.03850640736930891,0.03812788649981011,0.004677816384345185,0.038861505076987365,0.03846075503828827,0.038329975871061905,0.038036352510615906,-0.004882701997117169,0.03447864627294505,0.033159266896814754,0.03149442246823793,0.03466640527277723,,0.05889913306753313,0.04715331333293109,0.05006985636659434,0.03660817011652553,-0.007759620920594658,-0.02051929841136342,-0.024061155674159715,-0.023492574858035586,-0.02888987460131081,0.030355479701682106,0.03428637317109945,0.033036990321075856,0.030050153580269485,0.059104742774244524,-0.02274882903164265,0.03655229442375332,0.046257315231321566,0.004009364871290542,1.0,0.12157631591134477
log_return_brent_close,0.003496836237993294,0.0026918690153834982,0.0032546790697411594,0.0024292645854089544,-0.027182264086291555,0.008813175124638648,0.006785592255542089,0.008237868708815736,0.005364271178877907,-0.05972690213116381,-0.0007143884072967322,-0.0020849280697063425,-0.001308753210635812,-0.00027574669421328164,,-0.0007487377271274283,-0.0029515402261113175,-0.0006390134308309821,-0.0032380343656635206,-0.0007527448345827111,0.01992990293580067,-0.0054563560239597655,0.0007780062570399959,-0.026965593101266803,-0.022751091387079213,0.0049355378879335915,0.009657354610068529,-0.0002844976757007802,0.0029909664250521687,0.023540490864009445,0.12498455780353565,0.29802923494439176,0.002743337433436105,0.12157631591134477,1.0
