,cpi,gdp_growth,gdp_usd,unemployment,capital_formation,exports_pct_gdp,imports_pct_gdp,gov_consumption,current_account,log_cpi,log_gdp_usd,log_unemployment,log_capital_formation,log_exports_pct_gdp,log_imports_pct_gdp,log_gov_consumption,log_return_cpi,log_return_gdp_usd,log_return_unemployment,log_return_capital_formation,log_return_exports_pct_gdp,log_return_imports_pct_gdp,log_return_gov_consumption,log_gdp_growth_shifted,log_current_account_shifted,henry_hub_price,log_henry_hub,logret_henry_hub
cpi,1.0,0.061886844575205505,0.9934080162747084,-0.7170961159963362,0.2915101654328129,0.6893037143087046,0.6211389267347189,-0.36836014503445036,-0.10139242812409242,0.9667042753521277,0.9518704805054535,-0.7097433224345582,0.33725632100169356,0.7064660789697963,0.6635532509976085,-0.36963823579978916,-0.3592686564640269,-0.09766712573728359,-0.3400266626022816,-0.1402077695497689,-0.3064127600675821,-0.3348283983460747,-0.1001395488640752,-0.08993144218495809,-0.09049246579650587,-0.0968057159900048,-0.07205170453706104,0.06881109328753297
gdp_growth,0.061886844575205505,1.0,0.08611723125432758,-0.22092924607345316,0.30779296329163297,0.18874642625894938,0.21411897393387233,-0.4065335637478852,-0.20025860017695404,0.10391209068530348,0.11826107337036672,-0.20967222257429,0.31113116248181377,0.19846659675583272,0.23489712739235585,-0.41127085299743493,-0.09676109319364035,0.6136566388950923,-0.50173111825774,0.19561136525778317,-0.08794520818378142,0.09557582952049495,-0.3408821394382408,0.9197109983633008,-0.10583341308101382,0.1928314211598779,0.25024922597351523,0.0828782955286554
gdp_usd,0.9934080162747084,0.08611723125432758,1.0,-0.7388068540324385,0.32435108181932226,0.6969399432980717,0.638231126017093,-0.40573438955854824,-0.1554553166855098,0.9533978194300342,0.952829960558307,-0.7311277161550387,0.3650580238856598,0.708192380879035,0.6714825397327591,-0.40643705426037424,-0.32010827728492675,-0.04937444901156121,-0.3606951659830236,-0.1277373466809321,-0.29549390135566544,-0.2989915191534164,-0.10370271500145083,-0.05249133583862394,-0.13203003007109798,-0.08180234149289839,-0.05750565434258173,0.058263458671489535
unemployment,-0.7170961159963362,-0.22092924607345316,-0.7388068540324385,1.0,-0.09147020469576882,-0.3173057959886878,-0.26117358231537224,0.4090253422378973,-0.008534009551410694,-0.5825426001384076,-0.5635759816301351,0.9985800604670034,-0.12015538028701742,-0.3199670484287358,-0.2850999489383127,0.41647160454995885,0.23315525934918424,-0.014053780909784513,0.5265074603641081,0.0183016878974704,0.15445292349151554,0.12316575161029915,0.20603933809095107,-0.16878908535700982,-0.05839761429345038,0.05391598870300382,0.05415520013935213,-0.028816519952132014
capital_formation,0.2915101654328129,0.30779296329163297,0.32435108181932226,-0.09147020469576882,1.0,0.816150308435016,0.8543961797220075,-0.36725131517162507,-0.384044298146719,0.447604167745887,0.5266724444285339,-0.0894719410791785,0.9959611943922408,0.8120066784231132,0.8448550357447352,-0.3711260553960102,-0.0446290505009809,0.4110220890647306,-0.06894531913293601,0.19182606029184415,-0.00826694768330658,0.057939658646072596,-0.0658523048555267,0.21363544120099964,-0.40654052295484067,0.6186600381644172,0.6479484898688642,0.015653120211243512
exports_pct_gdp,0.6893037143087046,0.18874642625894938,0.6969399432980717,-0.3173057959886878,0.816150308435016,1.0,0.986973624940185,-0.45860838871483717,-0.42052001302548664,0.8102684589983197,0.8535990931229678,-0.31073847803847543,0.8303766537556372,0.9927360041391253,0.9873795250710014,-0.4590544499679079,-0.16852082499209592,0.09917087088553436,-0.20125174251987366,-0.15583020770909187,-0.09593517111948488,-0.15688773158278932,-0.1033146225209733,0.07582442347624868,-0.43506384797144326,0.42967252598813677,0.46765206829603767,0.12669198884179
imports_pct_gdp,0.6211389267347189,0.21411897393387233,0.638231126017093,-0.26117358231537224,0.8543961797220075,0.986973624940185,1.0,-0.41415629132431836,-0.5200777063671982,0.7547576745503513,0.8088197224298886,-0.25395866335663564,0.8613689267473237,0.973937856186074,0.9883467792477781,-0.41405193711760235,-0.0962087847323649,0.1148992662313664,-0.1956408950472287,-0.13350831203554808,-0.09439521090017435,-0.11692067732923639,-0.048959015996344814,0.12388016734393847,-0.5338223877880673,0.4358164643710051,0.47365117774853555,0.0892614666000953
gov_consumption,-0.36836014503445036,-0.4065335637478852,-0.40573438955854824,0.4090253422378973,-0.36725131517162507,-0.45860838871483717,-0.41415629132431836,1.0,0.136860682152816,-0.3364284206748237,-0.40273535031441327,0.40620694640683064,-0.3659153999258779,-0.4366383443843603,-0.40469613999814424,0.9995091293195725,0.0998748795613865,-0.3726562809339584,0.26445662244289386,0.0758432906422044,0.062303545924918075,-0.031938990477686266,0.41855429399314215,-0.3402995516991717,0.08650186681222406,-0.3389800503628295,-0.3296937903806223,-0.06867272688377776
current_account,-0.10139242812409242,-0.20025860017695404,-0.1554553166855098,-0.008534009551410694,-0.384044298146719,-0.42052001302548664,-0.5200777063671982,0.136860682152816,1.0,-0.1495193317801536,-0.2278122241385894,-0.014867343605567077,-0.35680537227588227,-0.3419473437354951,-0.4180202764624697,0.13040978458951863,-0.5138724357880466,0.08478639409571187,0.18783351823739236,0.1699668650516652,-0.00910429726793179,-0.08367536385351325,-0.0600701309569536,-0.2894436928986182,0.9446821386707902,-0.06512255742778268,-0.07573303890777063,0.046480060499668185
log_cpi,0.9667042753521277,0.10391209068530348,0.9533978194300342,-0.5825426001384076,0.447604167745887,0.8102684589983197,0.7547576745503513,-0.3364284206748237,-0.1495193317801536,1.0,0.9882958904429134,-0.5736785609339178,0.4907527986443805,0.8357232167443687,0.8042299610009315,-0.33804110232554374,-0.39068005403369,-0.04745735858568158,-0.28860817905768416,-0.1536459087631427,-0.30205499633422145,-0.35155635215570963,-0.06112117013394675,-0.05939935501050698,-0.15617139229535149,0.024108543168718712,0.05951220555454474,0.08963711692188568
log_gdp_usd,0.9518704805054535,0.11826107337036672,0.952829960558307,-0.5635759816301351,0.5266724444285339,0.8535990931229678,0.8088197224298886,-0.40273535031441327,-0.2278122241385894,0.9882958904429134,1.0,-0.5543199870658292,0.5626427782125063,0.8698831276469887,0.8447970452396515,-0.4031446559925046,-0.3270676743978047,0.016162148925989522,-0.288036600079457,-0.1435355829453664,-0.3000613929391856,-0.32207350467501517,-0.05769708096497131,-0.03909096259596233,-0.22166317247069656,0.0764062556856532,0.10917860320599372,0.0672272686422811
log_unemployment,-0.7097433224345582,-0.20967222257429,-0.7311277161550387,0.9985800604670034,-0.0894719410791785,-0.31073847803847543,-0.25395866335663564,0.40620694640683064,-0.014867343605567077,-0.5736785609339178,-0.5543199870658292,1.0,-0.11774279163493544,-0.31284274193814104,-0.27711809659955855,0.4138562641820362,0.22467584698987814,-0.0030944379565840865,0.4888672567590373,0.02325090989219335,0.16204410522819246,0.13583559090983602,0.19434261646550433,-0.1579120946107899,-0.06152479433810503,0.06327088529284866,0.06480027950744144,-0.011016226949822289
log_capital_formation,0.33725632100169356,0.31113116248181377,0.3650580238856598,-0.12015538028701742,0.9959611943922408,0.8303766537556372,0.8613689267473237,-0.3659153999258779,-0.35680537227588227,0.4907527986443805,0.5626427782125063,-0.11774279163493544,1.0,0.8299606035428159,0.8584238843013448,-0.3696561108509409,-0.08603487635599795,0.39949342565134127,-0.08615623288946163,0.22313452456493224,-0.016702684879266766,0.05160804025399631,-0.08017208123747063,0.2094255682981405,-0.3824798784938596,0.6021668514719588,0.6339443135543709,0.031211392348402225
log_exports_pct_gdp,0.7064660789697963,0.19846659675583272,0.708192380879035,-0.3199670484287358,0.8120066784231132,0.9927360041391253,0.973937856186074,-0.4366383443843603,-0.3419473437354951,0.8357232167443687,0.8698831276469887,-0.31284274193814104,0.8299606035428159,1.0,0.991628962790654,-0.4379622649359521,-0.254064643805775,0.12153477157486753,-0.19218692123126066,-0.1464263292491313,-0.10744277281837183,-0.17407623454889107,-0.09503333560299007,0.0690101038809957,-0.3637349083854918,0.4351832315840437,0.474894240887486,0.13422539776613063
log_imports_pct_gdp,0.6635532509976085,0.23489712739235585,0.6714825397327591,-0.2850999489383127,0.8448550357447352,0.9873795250710014,0.9883467792477781,-0.40469613999814424,-0.4180202764624697,0.8042299610009315,0.8447970452396515,-0.27711809659955855,0.8584238843013448,0.991628962790654,1.0,-0.40613813518008035,-0.20254772841724378,0.13973276265294515,-0.19430867589194173,-0.12288098553879719,-0.1137407877261162,-0.14760561524119498,-0.04482732435045654,0.1167108545887363,-0.43410563483426984,0.4392427977532533,0.4778763201937992,0.10883534000916054
log_gov_consumption,-0.36963823579978916,-0.41127085299743493,-0.40643705426037424,0.41647160454995885,-0.3711260553960102,-0.4590544499679079,-0.41405193711760235,0.9995091293195725,0.13040978458951863,-0.33804110232554374,-0.4031446559925046,0.4138562641820362,-0.3696561108509409,-0.4379622649359521,-0.40613813518008035,1.0,0.10577572708320516,-0.37566013609712295,0.2617068061762529,0.07278842657781912,0.0639606064719043,-0.029044921532758873,0.4196520801538618,-0.3421143309304815,0.07894388164947466,-0.34324947542573364,-0.3331362751678966,-0.07214775281944982
log_return_cpi,-0.3592686564640269,-0.09676109319364035,-0.32010827728492675,0.23315525934918424,-0.0446290505009809,-0.16852082499209592,-0.0962087847323649,0.0998748795613865,-0.5138724357880466,-0.39068005403369,-0.3270676743978047,0.22467584698987814,-0.08603487635599795,-0.254064643805775,-0.20254772841724378,0.10577572708320516,1.0,-0.04379237718446338,0.143152343169305,-0.03549323979620242,-0.03010070286313662,0.05476947500124753,0.18898795075956978,-0.043152127592253814,-0.45835030780377856,-0.19024681192783469,-0.2148462784426239,-0.29584383208147047
