,Year,price,log_price,log_return_price
Year,1.0,-0.22198596194579528,-0.2158293861643928,-0.04461263166618324
price,-0.22198596194579528,1.0,0.9779189977207162,0.4077258687733831
log_price,-0.2158293861643928,0.9779189977207162,1.0,0.44592097974469047
log_return_price,-0.04461263166618324,0.4077258687733831,0.44592097974469047,1.0
