Year,cpi,gdp_growth,gdp_usd,unemployment,capital_formation,exports_pct_gdp,imports_pct_gdp,gov_consumption,current_account,log_cpi,log_gdp_usd,log_unemployment,log_capital_formation,log_exports_pct_gdp,log_imports_pct_gdp,log_gov_consumption,log_return_cpi,log_return_gdp_usd,log_return_unemployment,log_return_capital_formation,log_return_exports_pct_gdp,log_return_imports_pct_gdp,log_return_gov_consumption,log_gdp_growth_shifted,log_current_account_shifted,henry_hub_price,log_henry_hub,logret_henry_hub
1991,26.1320914258645,1.05683143496063,270105341879.226,7.722,25.1405052782292,8.49424077053547,8.49348578059959,11.0787262464783,-1.58891131223691,3.263164115589577,26.32207787496232,2.0440733978420447,3.224480301537264,2.139388377443599,2.139299490924958,2.40502671500664,0.1114323977916812,0.0648706475100355,0.0014234877848537,0.0875289413485018,0.0402295445198904,0.1214393453387572,-0.0148844666933412,2.058544223511332,1.4852294189755464,2.49,0.9122827104766164,-0.1751186444998967
1992,29.2124945523449,5.48239602040357,288208070278.013,7.733,27.44020415513,8.84292692502088,9.59017211680717,10.9150464795678,-1.55624498023457,3.3745965133812583,26.386948522472352,2.0454968856268985,3.312009242885765,2.179617921963489,2.260738836263715,2.390142248313299,0.1114323977916812,0.0648706475100355,0.0014234877848537,0.0875289413485018,0.0402295445198904,0.1214393453387572,-0.0148844666933412,2.506351777708487,1.4925994964931522,2.49,0.9122827104766164,-0.1751186444998967
1993,31.0607370914259,4.75077621776924,279295648982.529,7.75,22.716410511618,9.83421745486326,9.81732233160511,11.0026650353957,-0.67161886953087,3.435944548650354,26.355536731482356,2.0476928433652555,3.1230875933265425,2.2858678813000037,2.284148410194494,2.3981375193993566,0.0613480352690958,-0.0314117909899984,0.0021959577383572,-0.188921649559223,0.1062499593365141,0.0234095739307787,0.0079952710860581,2.4448223106189992,1.673964717600945,2.49,0.9122827104766164,-0.1751186444998967
1994,34.2438214116532,6.65892407028434,327274843459.429,7.645,26.3101665553988,9.8880849164454,10.1900594604801,10.43581347191,-0.512193818555587,3.533506151694733,26.51406615469737,2.0340518393810254,3.269955425530028,2.291330488506676,2.3214126823972063,2.345243493591368,0.0975616030443783,0.1585294232150158,-0.01364100398423,0.1468678322034853,0.0054626072066724,0.0372642722027125,-0.0528940258079887,2.597985957064818,1.7034191913674757,2.49,0.9122827104766164,-0.1751186444998967
1995,37.7452131691141,7.57449183788519,360281909643.489,7.608,29.1523371515588,10.8439680350622,12.0234806711877,10.5402675188309,-1.54413181166043,3.630858664187618,26.610152644290583,2.029200325243089,3.3725350863083787,2.3836089839247894,2.486861460498928,2.355202924084371,0.0973525124928854,0.0960864895932168,-0.0048515141379364,0.102579660778351,0.0922784954181135,0.1654487781017209,0.0099594304930029,2.663904393326445,1.495318685763542,2.49,0.9122827104766164,-0.1751186444998967
1996,41.1336584557082,7.54952224920051,392896866204.516,7.558,22.7592531809279,10.3851692716063,11.5443185997804,10.3308896774711,-1.51595497295367,3.71682672688154,26.69681298741517,2.0226066049272973,3.1249717959310224,2.340378756820303,2.4461934198243074,2.335138405025187,0.0859680626939218,0.0866603431245863,-0.0065937203157919,-0.2475632903773566,-0.0432302271044863,-0.0406680406746198,-0.0200645190591842,2.662163105872228,1.5016154230711387,2.49,0.9122827104766164,-0.1751186444998967
1997,44.0805774514448,4.04982084998183,415867563592.829,7.61,25.6927329065132,10.690717318379,11.9286695486689,11.0287262034071,-0.713014326393887,3.7860192648370026,26.7536326897734,2.0294631718735947,3.2462081856317173,2.369375824598544,2.47894470840458,2.400503341864632,0.0691925379554625,0.0568197023582267,0.0068565669462973,0.1212363897006952,0.0289970677782406,0.0327512885802722,0.0653649368394453,2.382093401611055,1.666172699425814,2.49,0.9122827104766164,-0.1751186444998967
1998,49.9128076740881,6.18441582172117,421351317224.941,7.639,24.9753699423901,11.0184691793102,12.6810008997545,11.9098898139839,-1.63832533358649,3.9102776366395737,26.766732805361244,2.0332667045592228,3.217890136933025,2.399572881127213,2.540104881205721,2.4773691317697444,0.1242583718025712,0.0131001155878422,0.0038035326856281,-0.0283180486986923,0.0301970565286698,0.0611601728011411,0.0768657899051124,2.562032841529009,1.4739765178600548,2.09,0.7371640659767196,-0.1751186444998967
1999,52.2436461392705,8.84575555939531,458821052615.79,7.617,30.9580879683861,11.4520646128009,13.363533431492,12.1754896050679,-0.70354723219324,3.955918278460396,26.85192610740824,2.030382591390651,3.4326342886873507,2.4381700292738206,2.5925296115453413,2.499424882128709,0.0456406418208219,0.0851933020469929,-0.0028841131685715,0.2147441517543255,0.0385971481466071,0.0524247303396204,0.0220557503589651,2.748774927932969,1.6679600877020735,2.27,0.8197798314933114,0.0826157655165916
2000,54.3383216485078,3.84099115659129,468395521654.458,7.624,25.677316683955,12.9972363113479,13.9036865990995,11.9478354691139,-0.982342580017137,3.995229717406159,26.872578907681607,2.031301166351901,3.245607982862053,2.5647367434259976,2.632154027928054,2.480550129679361,0.0393114389457629,0.0206528002733723,0.0009185749612498,-0.1870263058252976,0.1265667141521768,0.0396244163827123,-0.0188747524493485,2.362618091691024,1.6139372030359105,4.31,1.4609379041156565,0.641158072622345
2001,56.3919261013738,4.82396626555771,485440139204.171,7.653,29.9078889827325,12.5583796339108,13.4348751195257,11.7614498890899,0.290495460210206,4.032325994025507,26.908321819865293,2.035097727827784,3.398122291171856,2.530388142678593,2.5978539468642765,2.464827224759504,0.0370962766193484,0.0357429121836873,0.003796561475883,0.1525143083098028,-0.0343486007474048,-0.0343000810637772,-0.0157229049198569,2.4511508609733728,1.8398168535931456,3.96,1.3762440252663892,-0.0846938788492671
2002,58.815172903837,3.80397532112175,514939140318.756,7.753,30.2513001207186,14.2643839243147,15.2442790107467,11.3140950692424,1.37093793900847,4.074399864199583,26.96731455648869,2.048079865236822,3.40953916275058,2.6577657958123826,2.7242042858319606,2.426049299682408,0.0420738701740749,0.0589927366234013,0.0129821374090379,0.0114168715787244,0.1273776531337898,0.1263503389676839,-0.038777925077096,2.3591260966968304,1.9982081206154696,3.38,1.2178757094949273,-0.1583683157714618
2003,61.0535954523922,7.8603814759073,607700687237.318,7.68,30.8396999424416,14.9479138581734,15.6445222747346,10.8762099129119,1.44355773291234,4.111752092391633,27.13294830696962,2.038619547159581,3.428802819154982,2.704571748840604,2.750120841322872,2.386577827145933,0.037352228192051,0.1656337504809229,-0.0094603180772411,0.0192636564044021,0.0468059530282212,0.0259165554909111,-0.0394714725364751,2.6836281410655083,2.0080056148304624,5.47,1.6992786164338898,0.4814029069389623
2004,63.3536380862151,7.92293661199932,709152728830.775,7.625,35.0964917017773,17.8591249630479,19.6446890963991,10.4047023481415,0.110018010197153,4.148732333472033,27.287336754710047,2.031432322493475,3.558101173960018,2.8825145800178555,2.97780702679199,2.3422578528185927,0.0369802410803994,0.1543884477404291,-0.0071872246661054,0.1292983548050358,0.1779428311772519,0.2276861854691182,-0.0443199743273403,2.687892480450825,1.8107296796140355,5.89,1.7732559976634952,0.0739773812296055
2005,66.0438512553292,7.92343062148318,820383763511.445,7.552,37.4282640165983,19.6052466948335,22.3964229200356,10.3661401972455,-1.25350400207393,4.190318934361387,27.43303807200711,2.0218124288432,3.6224261413750622,2.975797218926208,3.1089012550391786,2.3385447443958616,0.0415866008893542,0.1457013172970645,-0.0096198936502757,0.0643249674150439,0.0932826389083521,0.1310942282471884,-0.0037131084227309,2.6879260844617496,1.5584363051815315,8.69,2.162172939277301,0.3889169416138053
2006,69.8720985315016,8.06073257166651,940259888787.721,7.552,38.9985063717532,21.2679414221966,24.4565390770687,9.80247046783494,-0.988988302952292,4.246666406913691,27.569422151431365,2.0218124288432,3.663523347236079,3.0572008413688145,3.1968976270782057,2.282634442462131,0.0563474725523033,0.1363840794242514,0.0,0.0410972058610167,0.0814036224426065,0.0879963720390271,-0.0559103019337304,2.6972222753632664,1.6126131490507007,6.73,1.9065751436566365,-0.2555977956206641
2007,74.3249644718143,7.6608150670107,1216736438834.96,7.561,41.9507982267334,20.7996997489032,24.8865689304448,9.86211572842642,-0.663717648772609,4.308446890872803,27.8271933401982,2.023003456576133,3.73649746078304,3.0349385514542,3.214328257558197,2.288700722515725,0.0617804839591129,0.2577711887668374,0.0011910277329332,0.0729741135469609,-0.0222622899146143,0.0174306304799918,0.0060662800535936,2.669901004658725,1.6754451175172906,6.97,1.9416152247724323,0.0350400811157959
2008,80.5305542396968,3.08669805921981,1198895139005.92,7.656,38.4224196528192,24.0973572601391,29.2708631790835,10.5384811563533,-2.58337749259837,4.388636668184078,27.81242153110673,2.0354896541506533,3.648641134347926,3.182102177228174,3.376592590500722,2.355033429916628,0.0801897773112745,-0.0147718090914683,0.0124861975745202,-0.0878563264351135,0.1471636257739739,0.1622643329425248,0.0663327074009036,2.288934624441555,1.2300826245312158,8.86,2.1815467646169897,0.2399315398445571
2009,89.2941733775462,7.86188883286074,1341888016994.9,7.664,39.2567917551336,20.4005193743564,25.8723502685274,11.459667419691,-1.95146209111801,4.491936238021882,27.9250987061341,2.0365340406685597,3.6701244676063625,3.0155603600533567,3.253174841260708,2.4388336898961054,0.1032995698378041,0.1126771750273684,0.0010443865179062,0.0214833332584359,-0.1665418171748169,-0.123417749240014,0.0838002599794768,2.683731110625232,1.3995628508234268,3.94,1.3711807233098423,-0.8103660413071471
2010,100.0,8.49758470221235,1675615519484.96,7.652,39.7856241847736,22.4009332487945,26.8542732486216,11.0076078674499,-3.25348368945179,4.605170185988092,28.147201688022804,2.0349670515780063,3.683505645653861,3.109102620885732,3.290424960940284,2.398586658050123,0.1132339479662092,0.2221029818887042,-0.0015669890905529,0.0133811780474982,0.0935422608323747,0.0372501196795754,-0.040247031845982,2.726237760766119,1.0121120641455197,4.37,1.4747630091074988,0.1035822857976563
