,DHHNGSP,log_DHHNGSP,log_return_DHHNGSP
DHHNGSP,1.0,0.9521463273289138,0.11595481842408986
log_DHHNGSP,0.9521463273289138,1.0,0.08412840455730461
log_return_DHHNGSP,0.11595481842408986,0.08412840455730461,1.0
