,price,percentChange,change,log_price,log_return_price
price,1.0,0.05680042054584467,0.08401916258189257,0.9689920284040292,0.06924601692257502
percentChange,0.05680042054584467,1.0,0.8284353165133814,0.06911086245926051,0.9859833972091052
change,0.08401916258189257,0.8284353165133814,1.0,0.0701905369115045,0.8501103655493629
log_price,0.9689920284040292,0.06911086245926051,0.0701905369115045,1.0,0.08085238814371044
log_return_price,0.06924601692257502,0.9859833972091052,0.8501103655493629,0.08085238814371044,1.0
