Year,cpi,gdp_growth,gdp_usd,unemployment,capital_formation,exports_pct_gdp,imports_pct_gdp,gov_consumption,current_account,log_cpi,log_gdp_usd,log_unemployment,log_capital_formation,log_exports_pct_gdp,log_imports_pct_gdp,log_gov_consumption,log_return_cpi,log_return_gdp_usd,log_return_unemployment,log_return_capital_formation,log_return_exports_pct_gdp,log_return_imports_pct_gdp,log_return_gov_consumption,log_gdp_growth_shifted,log_current_account_shifted
1991,26.1320914258645,1.05683143496063,270105341879.226,7.722,25.1405052782292,8.49424077053547,8.49348578059959,11.0787262464783,-1.58891131223691,3.263164115589577,26.322077874962318,2.0440733978420447,3.224480301537264,2.139388377443599,2.139299490924958,2.40502671500664,0.11143239779168125,0.0648706475100355,0.0014234877848537057,0.08752894134850187,0.0402295445198904,0.12143934533875722,-0.014884466693341283,2.058544223511332,1.4852294189755464
1992,29.2124945523449,5.48239602040357,288208070278.013,7.733,27.44020415513,8.84292692502088,9.59017211680717,10.9150464795678,-1.55624498023457,3.3745965133812583,26.386948522472352,2.0454968856268985,3.3120092428857655,2.179617921963489,2.260738836263715,2.390142248313299,0.11143239779168125,0.0648706475100355,0.0014234877848537057,0.08752894134850187,0.0402295445198904,0.12143934533875722,-0.014884466693341283,2.506351777708487,1.4925994964931522
1993,31.0607370914259,4.75077621776924,279295648982.529,7.75,22.716410511618,9.83421745486326,9.81732233160511,11.0026650353957,-0.67161886953087,3.435944548650354,26.355536731482353,2.0476928433652555,3.1230875933265425,2.2858678813000033,2.284148410194494,2.3981375193993566,0.061348035269095845,-0.03141179098999842,0.002195957738357275,-0.188921649559223,0.10624995933651417,0.023409573930778787,0.007995271086058128,2.4448223106189992,1.673964717600945
1994,34.2438214116532,6.65892407028434,327274843459.429,7.645,26.3101665553988,9.8880849164454,10.1900594604801,10.43581347191,-0.512193818555587,3.533506151694733,26.51406615469737,2.0340518393810254,3.269955425530028,2.291330488506676,2.3214126823972063,2.345243493591368,0.0975616030443783,0.15852942321501584,-0.013641003984230005,0.14686783220348534,0.005462607206672448,0.037264272202712584,-0.052894025807988736,2.597985957064818,1.7034191913674757
1995,37.7452131691141,7.57449183788519,360281909643.489,7.608,29.1523371515588,10.8439680350622,12.0234806711877,10.5402675188309,-1.54413181166043,3.630858664187618,26.610152644290586,2.0292003252430892,3.3725350863083787,2.3836089839247894,2.4868614604989276,2.355202924084371,0.09735251249288548,0.09608648959321688,-0.004851514137936426,0.10257966077835103,0.09227849541811356,0.1654487781017209,0.00995943049300293,2.6639043933264452,1.4953186857635419
1996,41.1336584557082,7.54952224920051,392896866204.516,7.558,22.7592531809279,10.3851692716063,11.5443185997804,10.3308896774711,-1.51595497295367,3.71682672688154,26.69681298741517,2.0226066049272973,3.1249717959310224,2.340378756820303,2.4461934198243074,2.335138405025187,0.08596806269392186,0.08666034312458633,-0.006593720315791916,-0.2475632903773566,-0.04323022710448633,-0.04066804067461985,-0.020064519059184244,2.662163105872228,1.5016154230711387
1997,44.0805774514448,4.04982084998183,415867563592.829,7.61,25.6927329065132,10.690717318379,11.9286695486689,11.0287262034071,-0.713014326393887,3.7860192648370026,26.7536326897734,2.0294631718735947,3.2462081856317173,2.369375824598544,2.4789447084045797,2.400503341864632,0.0691925379554625,0.05681970235822678,0.006856566946297349,0.12123638970069522,0.028997067778240612,0.032751288580272216,0.06536493683944539,2.382093401611055,1.6661726994258141
1998,49.9128076740881,6.18441582172117,421351317224.941,7.639,24.9753699423901,11.0184691793102,12.6810008997545,11.9098898139839,-1.63832533358649,3.9102776366395737,26.766732805361244,2.0332667045592228,3.217890136933025,2.3995728811272135,2.540104881205721,2.4773691317697444,0.12425837180257125,0.013100115587842206,0.003803532685628117,-0.028318048698692328,0.030197056528669837,0.06116017280114116,0.07686578990511242,2.562032841529009,1.4739765178600548
1999,52.2436461392705,8.84575555939531,458821052615.79,7.617,30.9580879683861,11.4520646128009,13.363533431492,12.1754896050679,-0.70354723219324,3.9559182784603957,26.851926107408236,2.030382591390651,3.4326342886873507,2.4381700292738206,2.5925296115453413,2.4994248821287095,0.04564064182082195,0.0851933020469929,-0.00288411316857156,0.2147441517543255,0.03859714814660719,0.052424730339620404,0.022055750358965145,2.748774927932969,1.6679600877020735
2000,54.3383216485078,3.84099115659129,468395521654.458,7.624,25.677316683955,12.9972363113479,13.9036865990995,11.9478354691139,-0.982342580017137,3.9952297174061586,26.872578907681607,2.031301166351901,3.245607982862053,2.5647367434259976,2.632154027928054,2.480550129679361,0.0393114389457629,0.02065280027337231,0.0009185749612498236,-0.18702630582529767,0.12656671415217685,0.039624416382712385,-0.018874752449348598,2.362618091691024,1.6139372030359103
