Date,Open,High,Low,Close,log_Open,log_High,log_Low,log_Close,log_return_Open,log_return_High,log_return_Low,log_return_Close
2014-04-01,22455.23,22485.77,22295.65,22446.44,10.01927882817702,10.020637943670716,10.012146871155542,10.018887305985873,0.0042372370438778185,0.004717622958064873,0.007943465258215626,0.004669112150096312
2014-04-02,22550.58,22592.1,22473.46,22551.49,10.023516065220898,10.02535556662878,10.020090336413759,10.02355641813597,0.0042372370438778185,0.004717622958064873,0.007943465258215626,0.004669112150096312
2014-04-03,22598.19,22620.65,22369.28,22509.07,10.025625093557547,10.026618484889434,10.015443868002853,10.021673618076168,0.0021090283366494954,0.0012629182606537718,-0.004646468410906168,-0.0018828000598017354
2014-04-04,22522.46,22525.21,22339.4,22359.5,10.022268312522241,10.022390405407553,10.014107214608087,10.015006565659446,-0.003356781035305284,-0.004228079481882314,-0.0013366533947652213,-0.0066670524167211686
2014-04-07,22355.56,22481.62,22197.51,22343.45,10.014830338678639,10.020453365468077,10.007735399407563,10.014288492212854,-0.007437973843602712,-0.001937039939475351,-0.006371815200524131,-0.0007180734465914573
2014-04-09,22389.21,22740.04,22379.95,22702.34,10.016334425361565,10.031882526317931,10.015920747725797,10.030223281857175,0.0015040866829261423,0.01142916084985416,0.008185348318234836,0.01593478964432055
2014-04-10,22729.46,22792.49,22644.43,22715.33,10.031417159415241,10.034186374718148,10.027669184554064,10.030795305933012,0.015082734053675833,0.002303848400216255,0.01174843682826618,0.0005720240758368149
2014-04-11,22642.05,22679.18,22526.89,22628.96,10.027564075921104,10.02920260198525,10.022464985726817,10.026985780876888,-0.003853083494137603,-0.00498377273289642,-0.005204198827246106,-0.00380952505612327
2014-04-15,22698.09,22737.31,22416.24,22484.93,10.030036058960281,10.031762466551772,10.017540975157589,10.020600586013392,0.002471983039177644,0.002559864566520523,-0.004924010569229484,-0.006385194863495661
2014-04-16,22486.73,22533.61,22247.39,22277.23,10.020680636427407,10.02276325139408,10.009979977343022,10.01132035956156,-0.009355422532873628,-0.008999215157692732,-0.00756099781456701,-0.009280226451832635
2014-04-17,22327.76,22648.69,22312.19,22628.84,10.013586026322846,10.027857292593986,10.012888444868056,10.026980477923585,-0.0070946101045614475,0.005094041199905955,0.002908467525034276,0.015660118362025115
2014-04-21,22644.75,22795.58,22636.75,22764.83,10.027683315964701,10.034321936500199,10.027329970775906,10.032972080137222,0.014097289641855222,0.006464643906213605,0.014441525907849681,0.00599160221363645
2014-04-22,22771.24,22853.03,22727.63,22758.37,10.033253615194697,10.036838991469956,10.031336643922454,10.032688268803952,0.005570299229996751,0.002517054969757698,0.004006673146549966,-0.00028381133327025907
2014-04-23,22783.65,22912.52,22780.13,22876.54,10.033798452436407,10.039438765033559,10.033643943745206,10.037867210282043,0.0005448372417095946,0.00259977356360242,0.002307299822750743,0.005178941478090384
2014-04-25,22892.5,22939.31,22656.64,22688.07,10.038564624981888,10.040607311765433,10.028208244682032,10.029594514658546,0.0047661725454795755,0.001168546731874501,-0.005435699063172674,-0.008272695623495207
2014-04-28,22717.59,22721.36,22597.19,22631.61,10.030894793265187,10.03106073019853,10.025580841246795,10.027102880595386,-0.00766983171670017,-0.00954658156690378,-0.002627403435238178,-0.0024916340631605063
2014-04-29,22654.28,22681.89,22443.56,22466.19,10.028104075532427,10.029322087702992,10.018758992330094,10.019766791390003,-0.002790717732760037,-0.0017386424955372032,-0.006821848916700926,-0.007336089205384246
2014-04-30,22517.63,22680.46,22284.96,22417.8,10.022053836928675,10.029259039822957,10.01166729044972,10.017610565138801,-0.006050238603751319,-6.30478800359403e-05,-0.007091701880373322,-0.0021562262512021214
2014-05-02,22493.59,22575.62,22386.95,22403.89,10.020985658715075,10.024625841916917,10.016233478786338,10.016989883480141,-0.001068178213601539,-0.004633197906039886,0.004566188336617363,-0.0006206816586596588
2014-05-05,22412.8,22592.03,22354.45,22445.12,10.017387503211424,10.02535246819577,10.01478068536833,10.018828497604057,-0.0035981555036508107,0.0007266262788531773,-0.0014527934180080535,0.0018386141239166009
2014-05-06,22512.23,22602.71,22475.65,22508.42,10.021813996075256,10.025825089575992,10.020187779944976,10.021644740411062,0.004426492863832502,0.00047262138022250534,0.005407094576645612,0.0028162428070046203
2014-05-07,22488.96,22532.82,22286.26,22323.9,10.020779801109565,10.022728192038365,10.011725624056043,10.013413132414328,-0.0010341949656910493,-0.003096897537627621,-0.008462155888933781,-0.008231607996734006
2014-05-08,22382.14,22443.13,22277.04,22344.04,10.01601859838477,10.018739832975728,10.011311830637172,10.01431489781317,-0.004761202724794474,-0.003988359062636658,-0.00041379341886962884,0.0009017653988426736
2014-05-09,22374.98,23048.49,22317.18,22994.23,10.015698649287907,10.045355536517548,10.013112064427139,10.042998593873037,-0.00031994909686231454,0.026615703541820322,0.0018002337899671176,0.028683696059865555
2014-05-12,23031.11,23572.88,23008.65,23551.0,10.04460118965585,10.067852177689272,10.043625511164835,10.066923561388053,0.02890254036794182,0.022496641171722828,0.030513446737696244,0.023924967515017263
2014-05-13,23729.78,24068.94,23729.25,23871.23,10.07448607842181,10.088677491585553,10.074463743367764,10.080429247121343,0.029884888765960557,0.02082531389628274,0.030838232202928462,0.013505685733288347
2014-05-14,23897.88,23964.67,23753.36,23815.12,10.081545031056395,10.084335941417555,10.07547927314054,10.078075952063333,0.0070589526345839005,-0.004341550167999247,0.0010155297727760422,-0.002353295058009384
2014-05-15,23809.42,23971.78,23742.75,23905.6,10.0778365796714,10.08463258416236,10.07503249970261,10.08186802009682,-0.003708451384993462,0.00029664274480645,-0.00044677343792936375,0.0037920680334879663
2014-05-16,24271.54,25375.63,23873.16,24121.74,10.097059749530017,10.141544543622096,10.080510094316208,10.09086878754269,0.01922316985861558,0.05691195945973507,0.005477594613597414,0.009000767445869723
2014-05-19,24340.32,24448.47,24107.99,24363.05,10.099889513538088,10.1043229162579,10.090298599802782,10.100822919240825,0.0028297640080704603,-0.03722162736419698,0.00978850548657431,0.009954131698135171
2014-05-20,24555.31,24587.16,24299.53,24376.88,10.10868340311367,10.109979634436987,10.098212287577804,10.10139042109695,0.008793889575583271,0.005656718179087812,0.00791368777502089,0.0005675018561239145
