date,DHHNGSP,log_DHHNGSP,log_return_DHHNGSP
1997-01-07,3.82,1.3402504226184837,-0.005249355886143678
1997-01-08,3.8,1.33500106673234,-0.005249355886143678
1997-01-09,3.61,1.2837077723447896,-0.05129329438755046
1997-01-10,3.92,1.366091653802371,0.08238388145758169
1997-01-13,4.0,1.3862943611198906,0.02020270731751947
1997-01-14,4.01,1.3887912413184778,0.002496880198587146
1997-01-15,4.34,1.4678743481123135,0.07908310679383576
1997-01-16,4.71,1.5496879080283263,0.08181355991601291
1997-01-17,3.91,1.3635373739972745,-0.18615053403105195
1997-01-20,3.26,1.1817271953786161,-0.18181017861865822
1997-01-21,2.99,1.095273387402595,-0.08645380797602106
1997-01-22,3.05,1.1151415906193203,0.019868203216724965
1997-01-23,2.96,1.085189268335969,-0.029952322283351217
1997-01-24,2.62,0.9631743177730056,-0.12201495056296345
1997-01-27,2.98,1.091923300517313,0.1287489827443076
1997-01-28,3.05,1.1151415906193203,0.023218290102007086
1997-01-29,2.91,1.0681530811834012,-0.04698850943591898
1997-01-30,2.86,1.0508216248317612,-0.017331456351639976
1997-01-31,2.77,1.0188473201992472,-0.03197430463251408
1997-02-03,2.49,0.9122827104766164,-0.10656460972263075
1997-02-04,2.59,0.9516578757114463,0.03937516523482997
1997-02-05,2.65,0.9745596399981308,0.022901764286684414
1997-02-06,2.51,0.9202827531436925,-0.054276886854438426
1997-02-07,2.39,0.8712933659434193,-0.04898938720027306
1997-02-10,2.42,0.883767540168595,0.012474174225175598
1997-02-11,2.34,0.85015092936961,-0.033616610798984974
1997-02-12,2.42,0.883767540168595,0.033616610798985064
1997-02-13,2.22,0.7975071958841882,-0.08626034428440689
1997-02-14,2.12,0.7514160886839212,-0.046091107200266976
1997-02-17,2.12,0.7514160886839212,-0.046091107200266976
1997-02-18,1.84,0.6097655716208943,-0.046091107200266976
1997-02-19,1.95,0.6678293725756554,0.058063800954761116
1997-02-20,1.92,0.6523251860396901,-0.015504186535965312
1997-02-21,1.92,0.6523251860396901,0.0
1997-02-24,1.92,0.6523251860396901,0.0
1997-02-25,1.77,0.5709795465857378,-0.0813456394539524
1997-02-26,1.81,0.5933268452777344,0.022347298691996618
1997-02-27,1.8,0.5877866649021191,-0.005540180375615356
1997-02-28,1.78,0.5766133643039938,-0.011173300598125189
1997-03-03,1.8,0.5877866649021191,0.011173300598125255
1997-03-04,1.87,0.6259384308664954,0.038151765964376326
1997-03-05,1.92,0.6523251860396901,0.02638675517319481
1997-03-06,1.82,0.598836501088704,-0.05348868495098612
1997-03-07,1.89,0.636576829071551,0.0377403279828469
1997-03-10,1.95,0.6678293725756554,0.03125254350410453
1997-03-11,1.92,0.6523251860396901,-0.015504186535965312
1997-03-12,1.96,0.6729444732424258,0.02061928720273561
1997-03-13,1.98,0.6830968447064438,0.010152371464017908
1997-03-14,1.97,0.6780335427498971,-0.005063301956546762
1997-03-17,2.01,0.6981347220709843,0.020101179321087088
1997-03-18,1.91,0.6471032420585384,-0.05103148001244576
1997-03-19,1.88,0.6312717768418578,-0.015831465216680628
1997-03-20,1.88,0.6312717768418578,0.0
1997-03-21,1.87,0.6259384308664954,-0.005333345975362505
1997-03-24,1.8,0.5877866649021191,-0.03815176596437629
1997-03-25,1.85,0.6151856390902335,0.02739897418811456
1997-03-26,1.85,0.6151856390902335,0.0
1997-03-27,1.84,0.6097655716208943,-0.005420067469339256
1997-03-28,1.84,0.6097655716208943,-0.005420067469339256
1997-03-31,1.84,0.6097655716208943,-0.005420067469339256
1997-04-01,1.95,0.6678293725756554,0.058063800954761116
1997-04-02,1.85,0.6151856390902335,-0.05264373348542191
1997-04-03,1.87,0.6259384308664954,0.010752791776261915
1997-04-04,1.91,0.6471032420585384,0.021164811192043116
1997-04-07,1.99,0.688134638736401,0.04103139667786256
1997-04-08,2.01,0.6981347220709843,0.010000083334583179
1997-04-09,1.96,0.6729444732424258,-0.025190248828558404
1997-04-10,1.97,0.6780335427498971,0.005089069507471228
1997-04-11,1.98,0.6830968447064438,0.0050633019565466345
1997-04-14,2.0,0.6931471805599453,0.010050335853501506
1997-04-15,2.0,0.6931471805599453,0.0
1997-04-16,2.02,0.7030975114131134,0.009950330853168092
1997-04-17,2.08,0.7323678937132266,0.029270382300113237
1997-04-18,2.1,0.7419373447293773,0.009569451016150672
1997-04-21,2.09,0.7371640659767196,-0.004773278752657771
1997-04-22,2.1,0.7419373447293773,0.004773278752657812
1997-04-23,2.22,0.7975071958841882,0.055569851154810786
1997-04-24,2.11,0.7466879474879751,-0.050819248396213115
1997-04-25,2.16,0.7701082216960737,0.023420274208098637
1997-04-28,2.1,0.7419373447293773,-0.028170876966696335
1997-04-29,2.09,0.7371640659767196,-0.004773278752657771
1997-04-30,2.16,0.7701082216960737,0.03294415571935406
1997-05-01,2.19,0.7839015438284094,0.01379332213233577
1997-05-02,2.21,0.7929925155296614,0.009090971701252105
1997-05-05,2.23,0.8020015854720274,0.00900906994236591
1997-05-06,2.25,0.8109302162163288,0.008928630744301398
1997-05-07,2.34,0.85015092936961,0.03922071315328133
1997-05-08,2.33,0.8458682675776092,-0.004282661792000736
1997-05-09,2.3,0.8329091229351039,-0.012959144642505341
1997-05-12,2.27,0.8197798314933114,-0.013129291441792623
1997-05-13,2.18,0.7793248768009977,-0.04045495469231364
1997-05-14,2.22,0.7975071958841882,0.018182319083190547
1997-05-15,2.25,0.8109302162163288,0.01342302033214055
1997-05-16,2.19,0.7839015438284094,-0.027028672387919374
1997-05-19,2.25,0.8109302162163288,0.02702867238791942
